"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
22,"1","No Trucks","2025-01-23T18:03:44.164331Z",14420,"/data/upload/3/3884cf65-img_400.jpg",16.76,"2025-01-23T18:03:44.164331Z"
23,"1","No Trucks","2025-01-23T18:03:50.851298Z",14421,"/data/upload/3/96ba9b4a-img_401.jpg",6.217,"2025-01-23T18:03:50.851298Z"
24,"1","No Trucks","2025-01-23T18:04:06.549157Z",14422,"/data/upload/3/c71d9c59-img_402.jpg",15.267,"2025-01-23T18:04:06.549157Z"
25,"1","No Trucks","2025-01-23T18:04:22.433455Z",14423,"/data/upload/3/4aa85e83-img_403.jpg",15.454,"2025-01-23T18:04:22.433455Z"
26,"1","No Trucks","2025-01-23T18:04:52.410382Z",14424,"/data/upload/3/cc3f4276-img_404.jpg",29.57,"2025-01-23T18:04:52.410382Z"
27,"1","Trucks","2025-01-23T18:05:05.153427Z",14425,"/data/upload/3/ca7b526f-img_405.jpg",12.299,"2025-01-23T18:05:05.153427Z"
28,"1","No Trucks","2025-01-23T18:05:12.735798Z",14426,"/data/upload/3/1e5608bf-img_406.jpg",7.186,"2025-01-23T18:05:12.735798Z"
29,"1","No Trucks","2025-01-23T18:05:23.168240Z",14427,"/data/upload/3/07bd46a8-img_407.jpg",10.046,"2025-01-23T18:05:23.168240Z"
30,"1","No Trucks","2025-01-23T18:05:33.175603Z",14428,"/data/upload/3/da2a973a-img_408.jpg",9.599,"2025-01-23T18:05:33.175603Z"
31,"1","No Trucks","2025-01-23T18:05:42.404295Z",14429,"/data/upload/3/d687a512-img_409.jpg",8.79,"2025-01-23T18:05:42.404295Z"
32,"1","Trucks","2025-01-23T18:05:52.592024Z",14430,"/data/upload/3/8899e341-img_410.jpg",9.778,"2025-01-23T18:05:52.592024Z"
33,"1","No Trucks","2025-01-23T18:06:29.705778Z",14431,"/data/upload/3/a13fb865-img_411.jpg",36.686,"2025-01-23T18:06:29.705778Z"
34,"1","No Trucks","2025-01-23T18:06:45.683436Z",14432,"/data/upload/3/a9958359-img_412.jpg",15.534,"2025-01-23T18:06:45.683436Z"
35,"1","Trucks","2025-01-23T18:06:59.712839Z",14433,"/data/upload/3/18701d2e-img_413.jpg",13.623,"2025-01-23T18:06:59.712839Z"
36,"1","Trucks","2025-01-23T18:07:11.573099Z",14434,"/data/upload/3/ccf9f8e8-img_414.jpg",11.435,"2025-01-23T18:07:11.573099Z"
37,"1","No Trucks","2025-01-23T18:07:23.489476Z",14435,"/data/upload/3/e685b4fd-img_415.jpg",11.512,"2025-01-23T18:07:23.489476Z"
38,"1","No Trucks","2025-01-23T18:07:32.237071Z",14436,"/data/upload/3/de8d0cbf-img_416.jpg",8.354,"2025-01-23T18:07:32.237071Z"
39,"1","No Trucks","2025-01-23T18:08:03.511387Z",14437,"/data/upload/3/62129d06-img_417.jpg",30.827,"2025-01-23T18:08:03.511387Z"
40,"1","Trucks","2025-01-23T18:08:48.595361Z",14438,"/data/upload/3/b243a434-img_418.jpg",44.664,"2025-01-23T18:08:48.595361Z"
41,"1","No Trucks","2025-01-23T18:08:58.886959Z",14439,"/data/upload/3/f7375342-img_419.jpg",9.861,"2025-01-23T18:08:58.886959Z"
